,InstituteId,Institution,Course
265,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]",Computers Science And Engineering [CS]
267,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]",Electrical And Electronics Engineering [EE]
266,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]",Electronics and Communication Engineering [EC]
268,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]",Mechanical Engineering [ME]
269,E041,P D A College of Engineering  Gulbarga [E041],Civil Engineering [CE]
271,E041,P D A College of Engineering  Gulbarga [E041],Electrical And Electronics Engineering [EE]
270,E041,P D A College of Engineering  Gulbarga [E041],Electronics and Communication Engineering [EC]
272,E041,P D A College of Engineering  Gulbarga [E041],Industrial and Production Engineering [IP]
273,E041,P D A College of Engineering  Gulbarga [E041],Mechanical Engineering [ME]
274,E042,Khaja Banda Nawaz University  Kalburgi [E042],Aeronautical Engineering [AE]
275,E042,Khaja Banda Nawaz University  Kalburgi [E042],Civil Engineering [CE]
276,E042,Khaja Banda Nawaz University  Kalburgi [E042],Computers Science And Engineering [CS]
277,E042,Khaja Banda Nawaz University  Kalburgi [E042],Electronics and Communication Engineering [EC]
278,E042,Khaja Banda Nawaz University  Kalburgi [E042],Mechanical Engineering [ME]
279,E043,Gurunanak Dev Engineering College  Bidar [E043],Artificial Intelligence and Machine Learning [AI]
285,E043,Gurunanak Dev Engineering College  Bidar [E043],"CS-Internet of things,Cyber Security(Block Chain) [IC]"
280,E043,Gurunanak Dev Engineering College  Bidar [E043],Civil Engineering [CE]
282,E043,Gurunanak Dev Engineering College  Bidar [E043],Computer Science Engineering-Data Sciences [DS]
281,E043,Gurunanak Dev Engineering College  Bidar [E043],Computers Science And Engineering [CS]
284,E043,Gurunanak Dev Engineering College  Bidar [E043],Electrical And Electronics Engineering [EE]
